ID,ESTIMATIVA,RESPOSTA,ERRO,ERRO_ACEITAVEL,ERRO < ERRO_ACEITAVEL,EPS,DELTA,SOMA_PESOS,T,K,TIME,,,"0,01",,DELTA,EPS
2,274914,0,274914,1074173,TRUE,"0,05","0,09",21483478,3,40,"5,68677",,,"0,09",,"0,09","0,05"
3,277450,0,277450,1074173,TRUE,"0,05","0,09",21483478,3,40,"5,68677",,,"0,09",,"0,09","0,05"
4,276335,0,276335,1074173,TRUE,"0,05","0,09",21483478,3,40,"5,68678",,,"0,09",,"0,09","0,05"
5,278108,0,278108,1074173,TRUE,"0,05","0,09",21483478,3,40,"5,68678",,,"0,1",,"0,09","0,05"
1,276984,0,276984,1074173,TRUE,"0,05","0,1",21483478,3,40,"5,69911",,,"0,1",,"0,1","0,05"
2,277640,0,277640,1074173,TRUE,"0,05","0,1",21483478,3,40,"5,69913",,,"0,1",,"0,1","0,05"
3,279796,0,279796,1074173,TRUE,"0,05","0,1",21483478,3,40,"5,69913",,,"0,1",,"0,1","0,05"
4,278566,0,278566,1074173,TRUE,"0,05","0,1",21483478,3,40,"5,69913",,,"0,1",,"0,1","0,05"
5,277714,0,277714,1074173,TRUE,"0,05","0,1",21483478,3,40,"5,69913",,,"0,01",,"0,1","0,05"
1,560067,0,560067,2148347,TRUE,"0,1","0,01",21483478,5,20,"7,24144",,,"0,01",,"0,01","0,1"
2,554446,0,554446,2148347,TRUE,"0,1","0,01",21483478,5,20,"7,24145",,,"0,01",,"0,01","0,1"
3,555865,0,555865,2148347,TRUE,"0,1","0,01",21483478,5,20,"7,24146",,,"0,01",,"0,01","0,1"
4,557009,0,557009,2148347,TRUE,"0,1","0,01",21483478,5,20,"7,24146",,,"0,01",,"0,01","0,1"
5,555989,0,555989,2148347,TRUE,"0,1","0,01",21483478,5,20,"7,24146",,,"0,02",,"0,01","0,1"
1,559253,0,559253,2148347,TRUE,"0,1","0,02",21483478,4,20,"6,43717",,,"0,02",,"0,02","0,1"
2,555808,0,555808,2148347,TRUE,"0,1","0,02",21483478,4,20,"6,43718",,,"0,02",,"0,02","0,1"
3,558388,0,558388,2148347,TRUE,"0,1","0,02",21483478,4,20,"6,43718",,,"0,02",,"0,02","0,1"
4,556688,0,556688,2148347,TRUE,"0,1","0,02",21483478,4,20,"6,43719",,,"0,02",,"0,02","0,1"
5,554362,0,554362,2148347,TRUE,"0,1","0,02",21483478,4,20,"6,43719",,,"0,03",,"0,02","0,1"
1,557117,0,557117,2148347,TRUE,"0,1","0,03",21483478,4,20,"6,43268",,,"0,03",,"0,03","0,1"
2,556809,0,556809,2148347,TRUE,"0,1","0,03",21483478,4,20,"6,43269",,,"0,03",,"0,03","0,1"
3,554040,0,554040,2148347,TRUE,"0,1","0,03",21483478,4,20,"6,43269",,,"0,03",,"0,03","0,1"
4,557032,0,557032,2148347,TRUE,"0,1","0,03",21483478,4,20,"6,4327",,,"0,03",,"0,03","0,1"
5,557938,0,557938,2148347,TRUE,"0,1","0,03",21483478,4,20,"6,4327",,,"0,04",,"0,03","0,1"
1,553320,0,553320,2148347,TRUE,"0,1","0,04",21483478,4,20,"6,46565",,,"0,04",,"0,04","0,1"
2,555712,0,555712,2148347,TRUE,"0,1","0,04",21483478,4,20,"6,46567",,,"0,04",,"0,04","0,1"
3,561271,0,561271,2148347,TRUE,"0,1","0,04",21483478,4,20,"6,46567",,,"0,04",,"0,04","0,1"
4,556636,0,556636,2148347,TRUE,"0,1","0,04",21483478,4,20,"6,46567",,,"0,04",,"0,04","0,1"
5,554438,0,554438,2148347,TRUE,"0,1","0,04",21483478,4,20,"6,46567",,,"0,05",,"0,04","0,1"
1,554943,0,554943,2148347,TRUE,"0,1","0,05",21483478,3,20,"5,74503",,,"0,05",,"0,05","0,1"
2,557421,0,557421,2148347,TRUE,"0,1","0,05",21483478,3,20,"5,74505",,,"0,05",,"0,05","0,1"
